"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2021,1,9,"Sant Andreu",63,"Navas","Homes","Atur Registrat",558
2021,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Homes","Atur Registrat",1119
2021,1,10,"Sant Martí",65,"el Clot","Homes","Atur Registrat",746
2021,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Homes","Atur Registrat",359
2021,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Homes","Atur Registrat",246
2021,1,10,"Sant Martí",68,"el Poblenou","Homes","Atur Registrat",842
2021,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Homes","Atur Registrat",416
2021,1,10,"Sant Martí",70,"el Besòs i el Maresme","Homes","Atur Registrat",948
2021,1,10,"Sant Martí",71,"Provençals del Poblenou","Homes","Atur Registrat",581
2021,1,10,"Sant Martí",72,"Sant Martí de Provençals","Homes","Atur Registrat",779
2021,1,10,"Sant Martí",73,"la Verneda i la Pau","Homes","Atur Registrat",880
2021,1,99,"No consta",99,"No consta","Homes","Atur Registrat",57
2021,1,1,"Ciutat Vella",1,"el Raval","Homes","Demanda No Aturats",5175
2021,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Demanda No Aturats",937
2021,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Demanda No Aturats",1000
2021,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Demanda No Aturats",1387
2021,1,2,"Eixample",5,"el Fort Pienc","Homes","Demanda No Aturats",1386
2021,1,2,"Eixample",6,"la Sagrada Família","Homes","Demanda No Aturats",2272
2021,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Demanda No Aturats",1457
2021,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Demanda No Aturats",1721
2021,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Demanda No Aturats",2504
2021,1,2,"Eixample",10,"Sant Antoni","Homes","Demanda No Aturats",1866
2021,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Demanda No Aturats",2398
2021,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Demanda No Aturats",112
2021,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Demanda No Aturats",1810
2021,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Demanda No Aturats",604
2021,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Demanda No Aturats",790
2021,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Demanda No Aturats",927
2021,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Demanda No Aturats",1025
2021,1,3,"Sants-Montjuïc",18,"Sants","Homes","Demanda No Aturats",1918
2021,1,4,"Les Corts",19,"les Corts","Homes","Demanda No Aturats",1954
2021,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Demanda No Aturats",1013
2021,1,4,"Les Corts",21,"Pedralbes","Homes","Demanda No Aturats",222
2021,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Demanda No Aturats",91
2021,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Demanda No Aturats",478
2021,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","Demanda No Aturats",356
2021,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes","Demanda No Aturats",629
2021,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes","Demanda No Aturats",1134
2021,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes","Demanda No Aturats",1060
2021,1,6,"Gràcia",28,"Vallcarca i els Penitents","Homes","Demanda No Aturats",691
2021,1,6,"Gràcia",29,"el Coll","Homes","Demanda No Aturats",290
2021,1,6,"Gràcia",30,"la Salut","Homes","Demanda No Aturats",592
2021,1,6,"Gràcia",31,"la Vila de Gràcia","Homes","Demanda No Aturats",2217
2021,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes","Demanda No Aturats",1470
2021,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes","Demanda No Aturats",1147
2021,1,7,"Horta-Guinardó",34,"Can Baró","Homes","Demanda No Aturats",425
2021,1,7,"Horta-Guinardó",35,"el Guinardó","Homes","Demanda No Aturats",1714
2021,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes","Demanda No Aturats",521
2021,1,7,"Horta-Guinardó",37,"el Carmel","Homes","Demanda No Aturats",1781
2021,1,7,"Horta-Guinardó",38,"la Teixonera","Homes","Demanda No Aturats",553
2021,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes","Demanda No Aturats",336
2021,1,7,"Horta-Guinardó",40,"Montbau","Homes","Demanda No Aturats",243
2021,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes","Demanda No Aturats",259
2021,1,7,"Horta-Guinardó",42,"la Clota","Homes","Demanda No Aturats",18
2021,1,7,"Horta-Guinardó",43,"Horta","Homes","Demanda No Aturats",1444
2021,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes","Demanda No Aturats",1354
2021,1,8,"Nou Barris",45,"Porta","Homes","Demanda No Aturats",1354
2021,1,8,"Nou Barris",46,"el Turó de la Peira","Homes","Demanda No Aturats",827
2021,1,8,"Nou Barris",47,"Can Peguera","Homes","Demanda No Aturats",111
2021,1,8,"Nou Barris",48,"la Guineueta","Homes","Demanda No Aturats",829
2021,1,8,"Nou Barris",49,"Canyelles","Homes","Demanda No Aturats",405
2021,1,8,"Nou Barris",50,"les Roquetes","Homes","Demanda No Aturats",877
2021,1,8,"Nou Barris",51,"Verdun","Homes","Demanda No Aturats",672
2021,1,8,"Nou Barris",52,"la Prosperitat","Homes","Demanda No Aturats",1521
2021,1,8,"Nou Barris",53,"la Trinitat Nova","Homes","Demanda No Aturats",511
2021,1,8,"Nou Barris",54,"Torre Baró","Homes","Demanda No Aturats",139
2021,1,8,"Nou Barris",55,"Ciutat Meridiana","Homes","Demanda No Aturats",727
2021,1,8,"Nou Barris",56,"Vallbona","Homes","Demanda No Aturats",84
2021,1,9,"Sant Andreu",57,"la Trinitat Vella","Homes","Demanda No Aturats",673
2021,1,9,"Sant Andreu",58,"Baró de Viver","Homes","Demanda No Aturats",130
2021,1,9,"Sant Andreu",59,"el Bon Pastor","Homes","Demanda No Aturats",737
2021,1,9,"Sant Andreu",60,"Sant Andreu","Homes","Demanda No Aturats",2984
2021,1,9,"Sant Andreu",61,"la Sagrera","Homes","Demanda No Aturats",1393
2021,1,9,"Sant Andreu",62,"el Congrés i els Indians","Homes","Demanda No Aturats",678
2021,1,9,"Sant Andreu",63,"Navas","Homes","Demanda No Aturats",1042
2021,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Homes","Demanda No Aturats",1974
2021,1,10,"Sant Martí",65,"el Clot","Homes","Demanda No Aturats",1328
2021,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Homes","Demanda No Aturats",634
